	preprintPMID	preprint_citation	publicationType	updatedInfo	updatedPMID
1082	33442686	bioRxiv. 2021 Jan 9. doi: 10.1101/2021.01.09.426034.	['Preprint']	['Brain Behav Immun. 2021 Apr 20;:. PMID: 33892139']	33892139
1083	33442685	bioRxiv. 2021 Jan 8. doi: 10.1101/2020.07.10.197343.	['Preprint']	['J Exp Med. 2021 Apr 5;218(4):. PMID: 33533916']	33533916
1084	33442684	bioRxiv. 2021 Jan 19. doi: 10.1101/2021.01.05.422952.	['Preprint']	['Cell Host Microbe. 2021 Aug 7;:. PMID: 34428428']	34428428
1085	33442683	bioRxiv. 2021 Feb 24. doi: 10.1101/2021.01.08.425825.	['Preprint']	['J Ethnopharmacol. 2021 Jun 28;274:114016. PMID: 33716085']	33716085
1086	33442682	bioRxiv. 2021 Jan 5. doi: 10.1101/2021.01.03.425167.	['Preprint']	['Cell. 2021 Mar 11;:. PMID: 33735607']	33735607
1096	33442558	ArXiv. 2021 Jan 10. pii: 2101.03467.	['Preprint']	['Eur J Epidemiol. 2021 May 17;:. PMID: 34002294']	34002294
1097	33403370	medRxiv. 2020 Dec 20. doi: 10.1101/2020.12.18.20248483.	['Preprint']	['PLoS One. 2021 Mar 24;16(3):e0245424. PMID: 33760825']	33760825
1098	33398306	medRxiv. 2020 Dec 26. doi: 10.1101/2020.10.07.20208504.	['Preprint']	['PLoS Comput Biol. 2021 Sep 7;17(9):e1009374. PMID: 34491990']	34491990
1101	33398303	medRxiv. 2020 Dec 22. doi: 10.1101/2020.12.20.20248572.	['Preprint']	['Genome Med. 2021 May 17;13(1):83. PMID: 34001247']	34001247
1102	33398302	medRxiv. 2020 Dec 29. doi: 10.1101/2020.12.05.20241927.	['Preprint']	['Nature. 2021 Feb 5;:. PMID: 33545711']	33545711
1104	33398300	medRxiv. 2020 Dec 24. doi: 10.1101/2020.12.19.20248554.	['Preprint']	['F1000Res. 2021 Apr 23;10:315. PMID: 34504684']	34504684
1107	33398297	medRxiv. 2020 Dec 22. doi: 10.1101/2020.12.20.20248517.	['Preprint']	['J Med Internet Res. 2021 May 07;:. PMID: 33974550']	33974550
1109	33398295	medRxiv. 2020 Dec 21. doi: 10.1101/2020.12.18.20248226.	['Preprint']	['J Clin Invest. 2021 May 27;:. PMID: 34043590']	34043590
1110	33398294	medRxiv. 2021 Feb 11. doi: 10.1101/2020.12.18.20248346.	['Preprint']	['Front Med (Lausanne). 2021 Mar 31;8:637647. PMID: 33869251']	33869251
1113	33398291	medRxiv. 2020 Dec 26. doi: 10.1101/2020.12.23.20248671.	['Preprint']	['Biophys J. 2021 Feb 12;:. PMID: 33582134']	33582134
1114	33398290	medRxiv. 2020 Dec 22. doi: 10.1101/2020.12.19.20248561.	['Preprint']	['Clin Infect Dis. 2021 May 05;:. PMID: 33949665']	33949665
1115	33398289	bioRxiv. 2020 Dec 31. doi: 10.1101/2020.12.30.424745.	['Preprint']	['NPJ Vaccines. 2021 Apr 9;6(1):50. PMID: 33837212']	33837212
1117	33398287	bioRxiv. 2020 Dec 23. doi: 10.1101/2020.12.22.424026.	['Preprint']	['Genetics. 2021 Jun 12;:. PMID: 34117752']	34117752
1118	33398286	bioRxiv. 2020 Dec 24. doi: 10.1101/2020.12.24.424262.	['Preprint']	['Brief Bioinform. 2021 May 03;:. PMID: 34009266']	34009266
1122	33398282	bioRxiv. 2020 Dec 28. doi: 10.1101/2020.12.21.423869.	['Preprint']	['Clin Transl Sci. 2021 Mar 30;:. PMID: 33786981']	33786981
1123	33398281	bioRxiv. 2020 Dec 30. doi: 10.1101/2020.12.29.424728.	['Preprint']	['Front Pharmacol. 2021 Jun 07;12:673485. PMID: 34163359']	34163359
1124	33398280	bioRxiv. 2020 Dec 24. doi: 10.1101/2020.12.23.424254.	['Preprint']	['Pathogens. 2021 Apr 23;10(5):. PMID: 33922476']	33922476
1125	33398279	bioRxiv. 2020 Dec 22. doi: 10.1101/2020.12.21.423860.	['Preprint']	['Proc Natl Acad Sci U S A. 2021 Jun 8;118(23):. PMID: 34016708']	34016708
1126	33398278	bioRxiv. 2020 Dec 28. doi: 10.1101/2020.12.28.424451.	['Preprint']	['Proc Natl Acad Sci U S A. 2021 Sep 7;118(36):. PMID: 34417349']	34417349
1127	33398277	bioRxiv. 2021 Jan 4. doi: 10.1101/2020.12.29.424482.	['Preprint']	['Nat Struct Mol Biol. 2021 Jun;28(6):478-486. PMID: 33981021']	33981021
1129	33398275	bioRxiv. 2020 Dec 21. doi: 10.1101/2020.10.18.344622.	['Preprint']	['Sci Adv. 2021 Feb 17;7(8):. PMID: 33597251']	33597251
1130	33398274	bioRxiv. 2020 Dec 28. doi: 10.1101/2020.12.28.424582.	['Preprint']	['Genome Biol Evol. 2021 Aug 25;:. PMID: 34432021']	34432021
1132	33398272	bioRxiv. 2020 Dec 28. doi: 10.1101/2020.12.28.424554.	['Preprint']	['Cell. 2021 Feb 12;:. PMID: 33691139']	33691139
1134	33398270	bioRxiv. 2020 Dec 21. doi: 10.1101/2020.10.31.362848.	['Preprint']	['J Mol Biol. 2021 Jul 27;:167177. PMID: 34329642']	34329642
1135	33398269	bioRxiv. 2020 Dec 21. doi: 10.1101/2020.12.20.423708.	['Preprint']	['Science. 2021 May 4;:. PMID: 33947773']	33947773
1136	33398268	bioRxiv. 2020 Dec 23. doi: 10.1101/2020.12.22.422708.	['Preprint']	['PLoS One. 2021 Jun 9;16(6):e0251955. PMID: 34106957']	34106957
1137	33398267	bioRxiv. 2020 Dec 28. doi: 10.1101/2020.12.28.424565.	['Preprint']	['Nat Commun. 2021 Aug 17;12(1):4985. PMID: 34404778']	34404778
1138	33398266	bioRxiv. 2020 Dec 20. doi: 10.1101/2020.12.20.414748.	['Preprint']	['Cell Rep Med. 2021 May 21;:100313. PMID: 34056628']	34056628
1140	33398264	Res Sq. 2020 Dec 31. doi: 10.21203/rs.3.rs-132821/v1.	['Preprint']	['Nature. 2021 May 24;:. PMID: 34030176']	34030176
1143	33398261	Res Sq. 2020 Dec 31. doi: 10.21203/rs.3.rs-128348/v1.	['Preprint']	['Cell Rep Med. 2021 May 28;:100321. PMID: 34075365']	34075365
1145	33398246	ArXiv. 2020 Dec 31. pii: 2012.15697.	['Preprint']	['F1000Res. 2021 Feb 3;10:68. PMID: 34136131']	34136131
1147	33398244	ArXiv. 2020 Dec 30. pii: 2012.15268.	['Preprint']	['Comput Biol Med. 2021 Feb 22;131:104264. PMID: 33647832']	33647832
1151	33354688	medRxiv. 2020 Dec 18. doi: 10.1101/2020.12.16.20248294.	['Preprint']	['J Clin Invest. 2021 Feb 11;:. PMID: 33571169']	33571169
1153	33354686	medRxiv. 2020 Dec 15. doi: 10.1101/2020.06.10.20127795.	['Preprint']	['Salud Publica Mex. 2021 May 03;63(3 May-Jun):422-428. PMID: 34098622']	34098622
1155	33354684	medRxiv. 2020 Dec 15. doi: 10.1101/2020.05.15.20103069.	['Preprint']	['PLoS Negl Trop Dis. 2021 Jan 22;15(1):e0009070. PMID: 33481804']	33481804
1158	33336213	medRxiv. 2020 Dec 14. doi: 10.1101/2020.12.14.20248137.	['Preprint']	['Ann Intern Med. 2021 Apr 13;:. PMID: 33844575']	33844575
1160	33330895	medRxiv. 2020 Dec 8. doi: 10.1101/2020.12.05.20244632.	['Preprint']	['J Clin Microbiol. 2021 Feb 17;:. PMID: 33597259']	33597259
1161	33330894	medRxiv. 2021 Feb 1. doi: 10.1101/2020.12.10.20247205.	['Preprint']	['Nature. 2021 Jul;595(7866):283-288. PMID: 34010947']	34010947
1163	33330892	medRxiv. 2020 Dec 11. doi: 10.1101/2020.12.10.20244301.	['Preprint']	['Chem Senses. 2021 Mar 27;:. PMID: 33773496']	33773496
1164	33330891	medRxiv. 2021 May 7. doi: 10.1101/2020.12.04.20230755.	['Preprint']	['ACS Infect Dis. 2021 Jul 28;:. PMID: 34319698']	34319698
1165	33330890	medRxiv. 2020 Dec 7. doi: 10.1101/2020.12.05.20244442.	['Preprint']	['Elife. 2021 Mar 16;10:. PMID: 33724185']	33724185
1169	33330886	medRxiv. 2020 Dec 11. doi: 10.1101/2020.12.08.20246132.	['Preprint']	['Lancet Infect Dis. 2021 Mar 22;:. PMID: 33765417']	33765417
1171	33330884	medRxiv. 2021 Mar 31. doi: 10.1101/2020.12.04.20244194.	['Preprint']	['Prev Med. 2021 Jul;148:106564. PMID: 33878351']	33878351
1173	33330882	medRxiv. 2021 Jan 8. doi: 10.1101/2020.09.08.20190629.	['Preprint']	['Science. 2021 Feb 26;371(6532):916-921. PMID: 33479118']	33479118
1175	33330880	medRxiv. 2020 Dec 7. doi: 10.1101/2020.12.04.20241059.	['Preprint']	['Sci Rep. 2021 Jun 14;11(1):12425. PMID: 34127708']	34127708
1176	33330879	medRxiv. 2020 Dec 11. doi: 10.1101/2020.12.08.20246017.	['Preprint']	['J Am Coll Emerg Physicians Open. 2021 Jun 29;2(4):e12453. PMID: 34223443']	34223443
1179	33330876	medRxiv. 2020 Dec 8. doi: 10.1101/2020.12.07.20245308.	['Preprint']	['Nat Commun. 2021 Jul 27;12(1):4569. PMID: 34315903']	34315903
1182	33330873	bioRxiv. 2020 Dec 10. doi: 10.1101/2020.12.10.420109.	['Preprint']	['Biophys J. 2021 Mar 29;:. PMID: 33794150']	33794150
1184	33330871	bioRxiv. 2020 Dec 15. doi: 10.1101/2020.12.11.416180.	['Preprint']	['Proc Natl Acad Sci U S A. 2021 Sep 14;118(37):. PMID: 34433692']	34433692
1186	33330869	bioRxiv. 2020 Dec 9. doi: 10.1101/2020.12.08.416750.	['Preprint']	['Cell Rep Med. 2021 Jan 26;:100204. PMID: 33521695']	33521695
1188	33330867	bioRxiv. 2020 Dec 9. doi: 10.1101/2020.12.08.416636.	['Preprint']	['J Exp Med. 2021 Apr 5;218(4):. PMID: 33533915']	33533915
1190	33330865	bioRxiv. 2020 Dec 7. doi: 10.1101/2020.12.07.414706.	['Preprint']	['FASEB J. 2021 Sep;35(9):e21801. PMID: 34365657']	34365657
1191	33330864	bioRxiv. 2020 Dec 7. doi: 10.1101/2020.12.07.413252.	['Preprint']	['BMC Pulm Med. 2021 Aug 23;21(1):275. PMID: 34425811']	34425811
1192	33330863	bioRxiv. 2020 Dec 11. doi: 10.1101/2020.12.11.421057.	['Preprint']	['PLoS One. 2021 Aug 25;16(8):e0244468. PMID: 34432798']	34432798
1194	33330861	bioRxiv. 2020 Dec 8. doi: 10.1101/2020.12.08.416339.	['Preprint']	['Viruses. 2021 May 19;13(5):. PMID: 34069453']	34069453
1196	33330859	Res Sq. 2020 Dec 9. doi: 10.21203/rs.3.rs-66730/v2.	['Preprint']	['Front Psychiatry. 2021 Apr 08;12:626456. PMID: 33897489']	33897489
1200	33330855	Res Sq. 2020 Dec 8. doi: 10.21203/rs.3.rs-121890/v1.	['Preprint']	['Syst Rev. 2021 Jul 2;10(1):196. PMID: 34215337']	34215337
1202	33330741	ArXiv. 2020 Jul 23. pii: 2008.04215.	['Preprint']	['J Am Med Inform Assoc. 2021 Jan 22;:. PMID: 33486527']	33486527
1203	33300016	medRxiv. 2020 Dec 2. doi: 10.1101/2020.11.30.20241414.	['Preprint']	['PLoS One. 2021 May 12;16(5):e0251376. PMID: 33979353']	33979353
1204	33300015	medRxiv. 2020 Dec 3. doi: 10.1101/2020.12.01.20242131.	['Preprint']	['Environ Sci Technol. 2021 Mar 24;:. PMID: 33759506']	33759506
1206	33300013	medRxiv. 2021 Mar 29. doi: 10.1101/2020.12.02.20235879.	['Preprint']	['J Med Internet Res. 2021 Jul 9;23(7):e29514. PMID: 34081611']	34081611
1207	33300012	medRxiv. 2020 Dec 4. doi: 10.1101/2020.12.02.20242909.	['Preprint']	['JCI Insight. 2021 Jan 21;:. PMID: 33476300']	33476300
1208	33300011	medRxiv. 2021 Apr 3. doi: 10.1101/2020.12.01.20241364.	['Preprint']	['Immunity. 2021 May 11;54(5):1083-1095.e7. PMID: 33891889']	33891889
1210	33300009	medRxiv. 2020 Dec 3. doi: 10.1101/2020.12.01.20241877.	['Preprint']	['BMC Infect Dis. 2021 Sep 8;21(1):928. PMID: 34496771']	34496771
1212	33300007	medRxiv. 2020 Dec 19. doi: 10.1101/2020.12.03.20243352.	['Preprint']	['BMJ Open. 2021 Apr 13;11(4):e049069. PMID: 33849861']	33849861
1218	33300001	bioRxiv. 2020 Dec 4. doi: 10.1101/2020.12.04.409144.	['Preprint']	['Circ Res. 2021 Mar 31;:. PMID: 33784827']	33784827
1219	33300000	bioRxiv. 2021 Jun 12. doi: 10.1101/2020.12.03.409409.	['Preprint']	['Brief Bioinform. 2021 Sep 01;:. PMID: 34472587']	34472587
1220	33299999	bioRxiv. 2020 Dec 1. doi: 10.1101/2020.12.01.404483.	['Preprint']	['Cell. 2021 Mar 30;:. PMID: 33836156']	33836156
1223	33299996	bioRxiv. 2021 Jan 11. doi: 10.1101/2020.12.03.410472.	['Preprint']	['Biophys J. 2021 Mar 16;120(6):1105-1119. PMID: 33631204']	33631204
1225	33299994	bioRxiv. 2020 Dec 1. doi: 10.1101/2020.12.01.406611.	['Preprint']	['Science. 2021 Apr 2;372(6537):. PMID: 33795432']	33795432
1226	33299993	bioRxiv. 2020 Dec 1. doi: 10.1101/2020.11.30.405472.	['Preprint']	['Science. 2021 Jan 25;:. PMID: 33495308']	33495308
1227	33299992	bioRxiv. 2020 Dec 3. doi: 10.1101/2020.07.22.202275.	['Preprint']	['iScience. 2021 Jan 22;24(1):101896. PMID: 33319166']	33319166
1228	33299991	bioRxiv. 2020 Dec 3. doi: 10.1101/2020.12.02.408823.	['Preprint']	['Cell Rep. 2021 Jun 29;:109400. PMID: 34245672']	34245672
1229	33299990	bioRxiv. 2020 Dec 2. doi: 10.1101/2020.12.01.407361.	['Preprint']	['ACS Omega. 2021 Mar 10;6(11):7454-7468. PMID: 33778258']	33778258
1231	33299988	bioRxiv. 2020 Dec 1. doi: 10.1101/2020.12.01.405662.	['Preprint']	['Pathogens. 2021 Mar 01;10(3):. PMID: 33804294']	33804294
1234	33299904	ArXiv. 2020 Dec 2. pii: 2012.00974.	['Preprint']	['J Biomed Inform. 2021 Mar 26;:103761. PMID: 33781918']	33781918
1236	33269372	medRxiv. 2020 Dec 24. doi: 10.1101/2020.11.26.20152520.	['Preprint']	['Nat Commun. 2021 Jun 18;12(1):3767. PMID: 34145252']	34145252
1238	33269370	medRxiv. 2020 Nov 30. doi: 10.1101/2020.11.25.20238915.	['Preprint']	['Nutrients. 2021 May 10;13(5):. PMID: 34068824']	34068824
1239	33269369	medRxiv. 2020 Nov 30. doi: 10.1101/2020.11.25.20235150.	['Preprint']	['JCI Insight. 2021 Feb 23;:. PMID: 33621211']	33621211
1240	33269368	medRxiv. 2021 Mar 24. doi: 10.1101/2020.10.25.20219063.	['Preprint']	['Nature. 2021 Jul;595(7869):707-712. PMID: 34098568']	34098568
1241	33269367	medRxiv. 2020 Nov 24. doi: 10.1101/2020.11.23.20237503.	['Preprint']	['F1000Res. 2021 Jun 4;10:447. PMID: 34484689']	34484689
1242	33269366	medRxiv. 2020 Nov 29. doi: 10.1101/2020.11.24.20238261.	['Preprint']	['J Am Coll Health. 2021 Jul 9;:1-7. PMID: 34242539']	34242539
1244	33269364	medRxiv. 2021 Feb 8. doi: 10.1101/2020.11.23.20237313.	['Preprint']	['J Infect. 2021 Mar;82(3):384-390. PMID: 33592254']	33592254
1246	33269362	medRxiv. 2020 Nov 30. doi: 10.1101/2020.11.27.20240044.	['Preprint']	['Infect Control Hosp Epidemiol. 2021 Jan 11;:1-17. PMID: 33427141']	33427141
1247	33269361	medRxiv. 2020 Nov 27. doi: 10.1101/2020.11.24.20235721.	['Preprint']	['Elife. 2021 Jan 14;10:. PMID: 33443016']	33443016
1248	33269360	medRxiv. 2020 Nov 30. doi: 10.1101/2020.11.26.20239483.	['Preprint']	['Am J Health Promot. 2021 Jun 24;:8901171211028407. PMID: 34164998']	34164998
1249	33269359	medRxiv. 2021 Jan 2. doi: 10.1101/2020.11.27.20240051.	['Preprint']	['Clin Infect Dis. 2021 Jan 30;:. PMID: 33515252']	33515252
1251	33269357	medRxiv. 2020 Nov 25. doi: 10.1101/2020.07.14.20152728.	['Preprint']	['Lancet Diabetes Endocrinol. 2021 Mar 30;:. PMID: 33798465']	33798465
1253	33269355	medRxiv. 2020 Nov 27. doi: 10.1101/2020.11.24.20236802.	['Preprint']	['Rheumatology (Oxford). 2021 Mar 16;:. PMID: 33725121']	33725121
1254	33269354	medRxiv. 2020 Nov 30. doi: 10.1101/2020.11.27.20239970.	['Preprint']	['Am J Prev Med. 2021 Feb 15;:. PMID: 33773862']	33773862
1255	33269353	bioRxiv. 2020 Nov 24. doi: 10.1101/2020.11.20.392126.	['Preprint']	['Science. 2021 Mar 18;:. PMID: 33737402']	33737402
1256	33269352	bioRxiv. 2020 Nov 24. doi: 10.1101/2020.11.24.395079.	['Preprint']	['Structure. 2021 Apr 27;:. PMID: 33930306']	33930306
1258	33269350	bioRxiv. 2021 Jan 5. doi: 10.1101/2020.11.24.390039.	['Preprint']	['J Cell Sci. 2021 Feb 19;134(4):. PMID: 33468620']	33468620
1259	33269349	bioRxiv. 2020 Nov 24. doi: 10.1101/2020.11.24.393405.	['Preprint']	['Sci Adv. 2021 Apr 14;7(16):. PMID: 33853786']	33853786
1260	33269348	bioRxiv. 2020 Nov 24. doi: 10.1101/2020.11.24.396382.	['Preprint']	['Sci Rep. 2021 Jun 29;11(1):13533. PMID: 34188154']	34188154
1261	33269347	bioRxiv. 2020 Nov 30. doi: 10.1101/2020.11.30.404905.	['Preprint']	['iScience. 2021 Jun 1;:102681. PMID: 34095780']	34095780
1262	33269346	bioRxiv. 2020 Nov 27. doi: 10.1101/2020.11.25.394288.	['Preprint']	['Access Microbiol. 2021 Apr 26;3(4):000228. PMID: 34151178']	34151178
1265	33269302	ArXiv. 2020 Nov 26. pii: 2011.13358.	['Preprint']	['This article has been published with doi: 10.1098/rspa.2020.0686']	10.1098/rspa.2020.0686
1268	33236035	medRxiv. 2020 Nov 16. doi: 10.1101/2020.11.13.20231266.	['Preprint']	['Epidemiology. 2021 Apr 2;:. PMID: 33935138']	33935138
1270	33236033	medRxiv. 2020 Nov 18. doi: 10.1101/2020.11.15.20229971.	['Preprint']	['. PMID: 34235496']	34235496
1272	33236031	medRxiv. 2021 Mar 16. doi: 10.1101/2020.11.17.20233452.	['Preprint']	['JCI Insight. 2021 May 10;6(9):. PMID: 33755598']	33755598
1273	33236030	medRxiv. 2020 Nov 22. doi: 10.1101/2020.11.19.20234229.	['Preprint']	['Microbiome. 2021 Jun 8;9(1):132. PMID: 34103074']	34103074
1275	33236028	medRxiv. 2020 Nov 18. doi: 10.1101/2020.11.14.20231811.	['Preprint']	['Anal Methods. 2021 Feb 12;:. PMID: 33576354']	33576354
1278	33236025	medRxiv. 2020 Nov 16. doi: 10.1101/2020.11.15.20231993.	['Preprint']	['Virus Evol. 2021 Apr 21;7(1):veab041. PMID: 34035952']	34035952
1280	33236023	medRxiv. 2020 Nov 19. doi: 10.1101/2020.07.13.20151233.	['Preprint']	['Nat Commun. 2021 May 10;12(1):2609. PMID: 33972512']	33972512
1281	33236022	medRxiv. 2021 Apr 6. doi: 10.1101/2020.11.13.20231431.	['Preprint']	['PLoS One. 2021 Sep 1;16(9):e0256085. PMID: 34469440']	34469440
1282	33236021	medRxiv. 2021 Apr 5. doi: 10.1101/2020.11.16.20232009.	['Preprint']	['Proc Natl Acad Sci U S A. 2021 Jun 22;118(25):. PMID: 34083352']	34083352
1283	33236020	medRxiv. 2020 Nov 22. doi: 10.1101/2020.11.19.20235044.	['Preprint']	['Biosens Bioelectron. 2021 Jan 20;178:113008. PMID: 33515984']	33515984
1286	33236017	bioRxiv. 2020 Nov 18. doi: 10.1101/2020.11.18.388868.	['Preprint']	['Protein Expr Purif. 2020 Nov 25;:105802. PMID: 33248226']	33248226
1287	33236016	bioRxiv. 2021 Jan 5. doi: 10.1101/2020.11.17.387092.	['Preprint']	['Science. 2021 Feb 12;371(6530):735-741. PMID: 33436524']	33436524
1288	33236015	bioRxiv. 2020 Nov 17. doi: 10.1101/2020.06.03.132258.	['Preprint']	['J Theor Biol. 2021 Apr 27;:110738. PMID: 33930440']	33930440
1290	33236013	bioRxiv. 2020 Nov 18. doi: 10.1101/2020.11.17.387555.	['Preprint']	['NPJ Vaccines. 2021 Mar 30;6(1):47. PMID: 33785745']	33785745
1292	33236011	bioRxiv. 2021 Jan 4. doi: 10.1101/2020.11.16.384917.	['Preprint']	['PLoS Pathog. 2021 Feb 26;17(2):e1009373. PMID: 33635912']	33635912
1293	33236010	bioRxiv. 2020 Nov 16. doi: 10.1101/2020.11.16.385278.	['Preprint']	['Cell. 2021 May 4;:. PMID: 34010620']	34010620
1295	33236008	bioRxiv. 2020 Nov 18. doi: 10.1101/2020.11.18.388934.	['Preprint']	['mBio. 2021 May 11;12(3):. PMID: 33975938']	33975938
1297	33236006	bioRxiv. 2020 Sep 12. doi: 10.1101/2020.09.11.294363.	['Preprint']	['Elife. 2021 Jun 21;10:. PMID: 34151773']	34151773
1298	33236005	Res Sq. 2020 Nov 18. doi: 10.21203/rs.3.rs-109131/v1.	['Preprint']	['AIDS Behav. 2021 Feb 25;:. PMID: 33630198']	33630198
1303	33200151	medRxiv. 2020 Nov 10. doi: 10.1101/2020.11.06.20227165.	['Preprint']	['J Biomed Inform. 2021 Mar 24;:103748. PMID: 33774203']	33774203
1304	33200150	medRxiv. 2020 Nov 13. doi: 10.1101/2020.11.11.20229500.	['Preprint']	['Nat Commun. 2021 Jun 18;12(1):3737. PMID: 34145289']	34145289
1305	33200149	medRxiv. 2020 Nov 13. doi: 10.1101/2020.11.11.20228692.	['Preprint']	['Nat Commun. 2021 Feb 12;12(1):1001. PMID: 33579926']	33579926
1306	33200148	medRxiv. 2020 Nov 12. doi: 10.1101/2020.11.09.20228858.	['Preprint']	['PLoS One. 2021 Jul 29;16(7):e0255154. PMID: 34324560']	34324560
1307	33200147	medRxiv. 2020 Nov 12. doi: 10.1101/2020.11.09.20228411.	['Preprint']	['Int Arch Allergy Immunol. 2021 Feb 23;:1-8. PMID: 33621972']	33621972
1308	33200146	medRxiv. 2020 Nov 15. doi: 10.1101/2020.11.12.20230136.	['Preprint']	['JMIR Public Health Surveill. 2021 Mar 31;:. PMID: 33827046']	33827046
1309	33200145	medRxiv. 2020 Nov 12. doi: 10.1101/2020.11.09.20228494.	['Preprint']	['J Acquir Immune Defic Syndr. 2021 Jan 28;:. PMID: 33512848']	33512848
1310	33200144	medRxiv. 2020 Nov 9. doi: 10.1101/2020.11.05.20226761.	['Preprint']	['Hum Genomics. 2021 Feb 3;15(1):10. PMID: 33536081']	33536081
1311	33200143	medRxiv. 2020 Nov 10. doi: 10.1101/2020.11.06.20227215.	['Preprint']	['Cell. 2021 Feb 9;:. PMID: 33631096']	33631096
1313	33200141	medRxiv. 2020 Nov 9. doi: 10.1101/2020.11.07.20201335.	['Preprint']	['J Med Internet Res. 2020 Dec 14;:. PMID: 33351774']	33351774
1318	33200136	bioRxiv. 2020 Nov 11. doi: 10.1101/2020.11.11.378778.	['Preprint']	['Nat Chem Biol. 2021 Jun 24;:. PMID: 34168368']	34168368
1319	33200135	bioRxiv. 2020 Nov 14. doi: 10.1101/2020.11.13.370387.	['Preprint']	['Biotechniques. 2021 Jan 29;:. PMID: 33512248']	33512248
1326	33200128	bioRxiv. 2020 Nov 13. doi: 10.1101/2020.11.13.381533.	['Preprint']	['Cell. 2021 May 13;184(10):2605-2617.e18. PMID: 33831372']	33831372
1328	33200126	Res Sq. 2020 Nov 12. doi: 10.21203/rs.3.rs-103997/v1.	['Preprint']	['BMC Med Res Methodol. 2021 Apr 12;21(1):68. PMID: 33845785']	33845785
1329	33200125	Res Sq. 2020 Nov 12. doi: 10.21203/rs.3.rs-103992/v1.	['Preprint']	['BMC Med Res Methodol. 2021 Mar 16;21(1):53. PMID: 33726711']	33726711
1332	33200117	ChemRxiv. 2020 Jul 29. pii: 12725465. doi: 10.26434/chemrxiv.12725465.	['Preprint']	['J Chem Inf Model. 2020 Dec 16;:. PMID: 33326239']	33326239
1333	33200116	ChemRxiv. 2020 Jul 24. pii: 12682316. doi: 10.26434/chemrxiv.12682316.	['Preprint']	['iScience. 2021 Jan 5;:102021. PMID: 33426509']	33426509
1334	33200115	ChemRxiv. 2020 Nov 6. pii: 13200227. doi: 10.26434/chemrxiv.13200227.	['Preprint']	['J Phys Chem Lett. 2021 Apr 26;:4195-4202. PMID: 33900080']	33900080
1335	33200083	ArXiv. 2020 Nov 11. pii: 2011.05826.	['Preprint']	['Epidemiology. 2021 May 13;:. PMID: 34001754']	34001754
1339	33173932	medRxiv. 2020 Nov 3. doi: 10.1101/2020.10.30.20223172.	['Preprint']	['IEEE Trans Neural Syst Rehabil Eng. 2021 Feb 03;PP:. PMID: 33534709']	33534709
1342	33173929	medRxiv. 2020 Nov 6. doi: 10.1101/2020.11.05.20223297.	['Preprint']	['J Am Geriatr Soc. 2021 Mar 5;:. PMID: 33675093']	33675093
1343	33173928	medRxiv. 2020 Nov 4. doi: 10.1101/2020.11.03.20225250.	['Preprint']	['Pediatr Pulmonol. 2021 Mar 22;:. PMID: 33751861']	33751861
1344	33173927	medRxiv. 2020 Nov 4. doi: 10.1101/2020.11.02.20222489.	['Preprint']	['J Int AIDS Soc. 2021 May;24(5):e25694. PMID: 33978326']	33978326
1348	33173923	medRxiv. 2020 Nov 30. doi: 10.1101/2020.10.27.20211631.	['Preprint']	['Nat Commun. 2021 Jan 7;12(1):356. PMID: 33414470']	33414470
1349	33173922	medRxiv. 2020 Nov 4. doi: 10.1101/2020.09.10.20192054.	['Preprint']	['Cortex. 2021 Feb 6;137:215-231. PMID: 33640853']	33640853
1350	33173921	medRxiv. 2020 Nov 3. doi: 10.1101/2020.10.30.20223156.	['Preprint']	['New Solut. 2021 Feb 8;:1048291121992468. PMID: 33557699']	33557699
1351	33173920	medRxiv. 2020 Nov 5. doi: 10.1101/2020.10.30.20223511.	['Preprint']	['IEEE Int Conf Healthc Inform. 2020 Nov-Dec;2020:. PMID: 33786419']	33786419
1352	33173919	medRxiv. 2020 Nov 4. doi: 10.1101/2020.11.02.20224469.	['Preprint']	['JAMA Netw Open. 2021 Feb 1;4(2):e2037067. PMID: 33560423']	33560423
1353	33173918	medRxiv. 2020 Nov 3. doi: 10.1101/2020.10.30.20223099.	['Preprint']	['Eur Respir J. 2021 Jun 17;:. PMID: 34140294']	34140294
1354	33173917	medRxiv. 2020 Nov 4. doi: 10.1101/2020.10.31.20221374.	['Preprint']	['Risk Anal. 2021 Jun 8;:. PMID: 34101876']	34101876
1355	33173916	medRxiv. 2021 May 9. doi: 10.1101/2020.07.30.20068114.	['Preprint']	['Drugs. 2021 Jun;81(9):1079-1100. PMID: 34061314']	34061314
1356	33173915	medRxiv. 2020 Nov 3. doi: 10.1101/2020.10.29.20222539.	['Preprint']	['Br J Ophthalmol. 2021 Apr 9;:. PMID: 33836989']	33836989
1358	33173913	medRxiv. 2020 Nov 5. doi: 10.1101/2020.10.30.20215335.	['Preprint']	['ACS Pharmacol Transl Sci. 2020 Dec 30;4(1):248-265. PMID: 33615177']	33615177
1359	33173912	medRxiv. 2020 Nov 10. doi: 10.1101/2020.11.05.20226183.	['Preprint']	['Environ Health. 2021 Aug 28;20(1):97. PMID: 34454526']	34454526
1360	33173911	medRxiv. 2020 Nov 12. doi: 10.1101/2020.11.02.20223891.	['Preprint']	['J Infect Dis. 2021 Apr 8;223(7):1139-1144. PMID: 33394052']	33394052
