	litcovid	preprint	j_sim_text	j_sim_author	sum_score	date
59	pmid32574319	2020.03.06.20032177	0.8456790120000001	0.830188679	1.675867692	2020-07-29
60	pmid32513797	2020.05.06.081968	0.931623932	0.744186047	1.6758099780000002	2020-07-29
61	pmid32246845	2020.03.13.991455	0.976470588	0.697247706	1.673718295	2020-07-29
62	pmid32383125	2020.05.01.20087999	0.8888888890000001	0.784615385	1.6735042740000001	2020-07-29
63	pmid32404529	2020.05.08.084061	0.869318182	0.8032786890000001	1.67259687	2020-07-29
64	pmid32363136	2020.03.06.977876	0.860465116	0.811594203	1.6720593190000002	2020-07-29
65	pmid32027036	2020.02.02.931162	0.9021739129999999	0.764705882	1.666879795	2020-07-29
66	pmid32502274	2020.04.16.20067496	1.0	0.666666667	1.6666666669999999	2020-07-29
67	pmid32558354	2020.04.04.20047886	0.892857143	0.773584906	1.666442049	2020-07-29
68	pmid32535877	2020.05.06.20092833	0.8979591840000001	0.7633136090000001	1.6612727930000002	2020-07-29
69	pmid32636214	2020.06.06.20124123	0.8909090909999999	0.763636364	1.654545455	2020-07-29
70	pmid32355424	2020.04.09.20059311	1.0	0.6521739129999999	1.6521739130000002	2020-07-29
71	pmid32257174	2020.02.16.20023804	0.768595041	0.8787878790000001	1.64738292	2020-07-29
72	pmid32518842	2020.03.10.20033761	1.0	0.642857143	1.642857143	2020-07-29
73	pmid32566557	2020.04.13.20064352	0.990654206	0.6509433960000001	1.6415976019999998	2020-07-29
74	pmid32584966	2020.04.24.20075291	0.809859155	0.831578947	1.641438102	2020-07-29
75	pmid32501409	2020.04.29.20064279	0.97826087	0.6625	1.64076087	2020-07-29
76	pmid32620975	2020.04.16.20067421	0.904761905	0.7333333329999999	1.638095238	2020-07-29
77	pmid32375776	2020.03.31.20049023	0.83974359	0.796296296	1.6360398859999998	2020-07-29
78	pmid32471856	2020.04.08.20056929	1.0	0.634328358	1.634328358	2020-07-29
79	pmid32427104	2020.04.14.20063420	0.860576923	0.771428571	1.632005495	2020-07-29
80	pmid32348711	2020.03.18.20038448	0.874074074	0.756756757	1.630830831	2020-07-29
81	pmid32517266	2020.05.13.094482	1.0	0.62962963	1.62962963	2020-07-29
